BatchIndex,Delta,Damkohler,Sigma,CUM_Steam,Woodloading
293,-3.151565318,0.072371668,0.821192802,23.7,107.301224
294,-3.078238839,0.077976288,0.826125972,23.9,105.669945
295,-4.014533334,0.067829615,0.858228647,24.7,113.344582
296,-1.894477955,0.081103601,0.838504044,24.3,111.50206
297,-1.648473461,0.091771917,0.85043687,25.3,112.192261
298,-3.735641332,0.064979226,0.914606548,26.4,100.216164
299,-0.320026384,0.53513916,0.840130915,22.9,100.156616
300,-3.485570078,0.071244991,0.861236555,26,95.24735
301,-0.335898826,0.542850613,0.778366264,21.2,95.21384
302,-12.17651036,0.046611911,1.17560132,28.7,90.1768
303,-10.37706355,0.044077553,1.17701058,31.3,90.2068
304,-5.793768398,0.068728021,0.928888427,23.1,90.20358
305,-2.806288946,0.075192711,0.819735568,25.1,90.2518845
306,-5.211252901,0.062661474,0.999762305,27.9,95.23673
307,-3.26344536,0.068905815,0.861972044,24.9,113.894829
308,-3.437101598,0.072399966,0.854685122,25.8,114.078186
309,-4.532388943,0.070499467,0.979221488,24.8,105.055321
310,-2.435970348,0.076551557,0.816024811,23.1,107.504723
311,-4.706713674,0.065381559,1.021739434,26.2,106.964149
312,-8.833859557,0.050354846,0.923460647,28.2,102.574463
313,-9.446290831,0.049290933,1.024656748,26.9,108.36869
314,-3.286262099,0.064109993,0.866607699,23.9,98.15601
315,-1.622110073,0.089564288,0.795598676,22.3,95.1807
316,-4.304553668,0.073989119,0.933463401,24.1,95.1369858
317,-0.321533085,0.539061807,0.764734089,21.3,95.16088
318,-0.050141234,0.446234585,0.742879047,25.6,101.587479
319,-3.750131995,0.065703253,0.951845648,25.8,97.0301361
320,-2.886506844,0.083737203,0.852108612,22.7,96.0988
321,-4.670185362,0.06194242,0.879240888,25.8,95.23958
322,-4.861419707,0.064372153,1.001053755,26.9,95.2461243
323,-11.4617134,0.038211403,1.240680819,28.6,100.25219
324,-4.706000773,0.058693017,0.864675438,25.3,118.378448
325,-4.480264166,0.048671381,1.092267002,29.6,116.949989
326,-3.036597043,0.063460887,1.079666254,29.6,120.623978
327,-6.274335818,0.065148215,1.06965558,28.6,122.226212
328,-4.80205727,0.084926672,1.033893184,25.4,97.8651
329,-3.237571437,0.058825496,0.909156467,26.2,94.2924957
330,-0.312939646,0.535344582,0.800914673,21.6,101.680504
331,-11.47491006,0.045798945,1.162260591,28.6,103.072731
332,-2.952256005,0.062574023,0.963795746,27.8,102.113892
333,-0.369506858,0.560501721,0.847968922,22.9,102.668442
334,-3.322007441,0.066755164,0.857130149,24,100.472092
335,-3.750454175,0.064977414,0.991352493,28.8,101.072243
336,-3.019206708,0.07170572,0.798728567,23.5,99.03321
337,-2.764034546,0.061609798,0.949946049,26.4,98.0263
338,-5.851523238,0.060555053,1.002199962,26.1,106.9992
339,-5.104789882,0.064295834,0.938680381,25.1,123.228821
340,-5.121932059,0.067769829,0.935408128,28.4,122.215744
341,-3.520250833,0.064208636,0.784772598,26.9,123.439613
342,-4.187024187,0.064603258,0.881252238,26.3,94.11416
343,-3.787068404,0.070077834,0.876223839,22.7,94.02705
344,-2.693556193,0.076354261,0.772724592,22.8,118.99575
345,-2.381396589,0.103601523,0.82603914,24.1,115.587425
346,-0.329917207,0.54076809,0.765074434,21.8,98.00452
347,-10.38474532,0.046548961,1.061596171,25.7,93.5908051
348,-3.034467429,0.082543678,0.846383581,22.3,95.24498
349,-3.984348696,0.063868,0.910607685,25.8,100.981438
350,-2.623979615,0.079741459,0.857586508,24.7,94.8470459
351,-2.899570323,0.06815781,0.782410794,22.6,100.644241
352,-0.386712964,0.570035106,0.779616305,21.3,77.19987
353,-0.372590798,0.563422423,0.829225508,21.7,105
354,-2.94232897,0.080156789,0.887590117,24.6,121.300369
355,-2.452385011,0.090419822,0.830496937,22.9,119.08046
356,-2.448508192,0.081235099,0.871455824,23.9,108.3648
357,-0.326503602,0.54025271,0.763020088,21.5,97.25109
358,-2.665188495,0.077266299,0.802623254,23.8,93.68586
359,-4.376122771,0.06859031,0.890066004,26.5,96.81758
360,-3.629333857,0.067516239,0.869767612,23.7,97.551506
361,-5.071838414,0.061420864,0.953934995,23.8,119.087486
362,-4.15823633,0.068349455,0.914353282,23.9,99.52334
363,-0.343279829,0.547955763,0.800340097,22.3,101.503891
364,-0.245507602,0.508345674,0.698327669,20.8,103.941475
365,-3.36860236,0.073964736,0.83931364,24.9,101.911926
366,-2.73574258,0.081218202,0.818125585,22.4,99.1868439
367,-3.1813831,0.072240468,0.87439701,24.1,99.13184
368,-0.328654838,0.54101111,0.791036045,20.6,102.023727
369,-0.092748315,0.446700134,0.774202432,24.4,98.77778
370,-0.361749095,0.558207108,0.807586236,23,97.56864
371,-1.689343099,0.075744517,0.828971055,23.3,96.02252
372,-0.26084555,0.515959209,0.689463179,20.2,84.4838943
373,-0.326474636,0.540313287,0.75870203,21.4,119.5928
374,-0.320347479,0.538520321,0.789220009,20.3,111.673584
375,-0.249023258,0.508986182,0.724042919,19.8,100.427734
376,-11.84010368,0.047426596,1.08058689,26.1,95.852005
377,-4.279625246,0.060995512,0.868951972,26.8,95.21378
378,-5.064750379,0.06396956,0.901000491,22.7,89.68763
379,-5.128775484,0.058606454,0.965586715,27.2,97.2173
380,-8.234854931,0.055215313,1.160073038,28.8,92.89718
381,-1.849161674,0.085754641,0.967067407,29,81
382,-4.602187288,0.105556453,1.190163561,32.5,96.44414
383,-6.226697215,0.051371092,1.021860669,30.1,91.3390656
384,-3.625027974,0.073864821,0.908411565,24.7,92.8109741
385,-4.976990078,0.059220467,0.920430606,25,92.62071
386,-3.467023169,0.067509234,0.857202295,23.7,120.380241
387,-4.932995053,0.064843816,0.954304128,23.9,105.553261
388,-5.380968793,0.062608193,0.948008902,24,96.36571
389,-0.366292698,0.55824588,0.864577213,22.7,121.711945
390,-2.217962402,0.119345493,0.795876724,19.7,120.234291
391,-0.279498112,0.519622711,0.766442549,21,117.699089
392,-0.325675163,0.539807949,0.777442456,20.9,95.21058
393,-0.165900084,0.462439228,0.904140252,25.7,95
394,-2.436644391,0.088531305,0.833311403,25.2,95.732666
395,-3.146143662,0.073306019,0.876998673,22.9,95.22366
396,-0.299736223,0.530746386,0.766683152,22.2,95.16853
397,-3.346779514,0.087857215,0.894678379,23.8,95.17692
398,-3.011027711,0.074884206,0.848173718,22.9,95.21171
399,-3.061685916,0.076134594,0.877115396,21.7,95.1897
400,-0.320646639,0.53864251,0.777163366,21,125.700233
401,-2.075432216,0.116602675,0.834363179,24.9,99.22898
402,-3.002878977,0.07765693,0.849186393,24.5,97.65255
403,-0.318191026,0.53432648,0.84179209,24.5,119.661339
404,-2.634018855,0.08494504,0.886332937,27.1,99.8268
405,-4.172553112,0.058923999,0.912358607,26.6,95.2015839
406,-4.15129392,0.068695125,0.898867327,23.2,95.17912
407,-2.476329046,0.085118727,0.866140542,24.8,95.54809
408,-2.27311833,0.085025243,0.846192709,27.4,95.17645
409,-6.614378236,0.055179708,1.066930988,28.3,95.1683655
410,-0.089431434,0.459291891,0.69989353,23.6,95.17919
411,-0.021615552,0.416164238,1.017200762,27.9,93.54053
412,-12.21537338,0.048230597,1.197968055,30.8,96.73783
413,-5.959366748,0.059172339,1.00925695,26.1,97.0979462
414,-2.450688738,0.085185395,0.834600504,24.5,119.443611
415,-0.086815544,0.423440004,1.032724592,28.2,119.783524
416,-5.034012161,0.05325885,0.951711189,29.7,113.750542
417,-4.73983379,0.056851515,0.917188038,26.8,115.09407
418,-5.168604519,0.056303168,0.921049657,24.4,115.286476
419,-5.803136583,0.055112681,0.99693428,27.1,115.35939
420,-5.162786291,0.064888088,1.008084157,27.5,100.718018
421,-4.206190361,0.070673189,1.010822323,30.4,105.056221
422,-2.762566882,0.110648261,0.953408006,27.9,102.277687
423,-4.40983968,0.072730382,0.990976557,27,98.7084351
424,-6.259199654,0.061252597,1.044775786,26.8,106.690132
425,-4.123903372,0.060107843,0.938327461,29,102.892616
426,-5.14398575,0.05433719,0.939800995,26,117.09787
427,-3.126289318,0.06996834,0.840544237,23.7,120.200287
428,-4.800748334,0.064920718,1.095740798,29.6,117.39904
429,-3.250051455,0.080701495,0.872801341,27.1,118.1887
430,-3.278137722,0.091559608,0.9000799,26.7,117.03978
431,-2.551960694,0.068658653,0.862083035,26.7,119.172493
432,-3.159214134,0.07083878,0.927340382,26.1,104.550377
433,-2.096121512,0.06923546,0.999577671,28.7,105.50029
434,-3.62164515,0.05444425,1.018141156,29.1,113.957085
435,-5.064628857,0.071931229,1.051199377,28.5,112.133728
436,-6.080144019,0.066342416,1.098765003,29.9,110.610474
437,-5.562081732,0.055534221,1.000766535,29.5,107.806343
438,-9.385205736,0.046745114,1.119331399,28.9,102.352745
439,-1.855927894,0.088924756,1.070501497,29.8,105.943291
440,-3.313390037,0.076176461,0.938381747,26.7,108.005684
441,-4.654684112,0.064039328,0.940295283,27.7,112.566017
442,-3.659238575,0.069432771,0.938154513,28,108.27726
443,-6.876423958,0.057658341,1.209321205,30.2,105.494919
444,-5.550648032,0.054891481,0.996300881,27.2,106.757553
445,-3.166653556,0.078444025,0.866290857,25.4,108.62841
446,-6.309023295,0.047485938,0.896233076,26.5,107.23233
447,-3.852029599,0.063463894,0.949205032,29.6,107.318016
448,-3.853879896,0.073040752,0.919029482,27.1,108.927383
449,-10.54503791,0.044730333,1.074093672,26.1,100
450,-3.745043655,0.057196408,1.148643211,28.5,104.132912
451,-0.250827718,0.5101646,0.7365478,21.1,109.463623
452,-0.315680227,0.535939274,0.806789489,22.7,110.075432
453,-5.279201097,0.061466546,0.984059842,27,105.406654
454,-0.35480478,0.553015005,0.870748702,23.1,112.074486
455,-3.529832661,0.066560367,0.84439485,24.2,108.869392
